county,date,quantile,hosp_census_with_covid,icu,Rt
Alpine,2022-09-29,0.04999999999999999,,,NA
Alpine,2022-09-29,0.95,,,1.1387312772376892
Alpine,2022-10-06,0.5,,,0.9134978346153032
Alpine,2022-10-06,0.04999999999999999,,,NA
Alpine,2022-10-06,0.95,,,1.1418834278731906
Alpine,2022-10-13,0.5,,,0.9211013456360784
Alpine,2022-10-13,0.04999999999999999,,,NA
Alpine,2022-10-13,0.95,,,1.1653308094883037
Alpine,2022-10-20,0.5,,,0.9216965412888236
Alpine,2022-10-20,0.04999999999999999,,,NA
Alpine,2022-10-20,0.95,,,1.1694135953570048
Alpine,2022-10-27,0.5,,,0.9288602017916364
Alpine,2022-10-27,0.04999999999999999,,,NA
Alpine,2022-10-27,0.95,,,1.169231963040012
Alpine,2022-11-03,0.5,,,0.9337335413515504
Alpine,2022-11-03,0.04999999999999999,,,NA
Alpine,2022-11-03,0.95,,,1.169410966109302
Alpine,2022-11-10,0.5,,,0.937559580772414
Alpine,2022-11-10,0.04999999999999999,,,NA
Alpine,2022-11-10,0.95,,,1.1716916612464312
Alpine,2022-11-17,0.5,,,0.9467883624078856
Alpine,2022-11-17,0.04999999999999999,,,NA
Alpine,2022-11-17,0.95,,,1.1968789945536322
Alpine,2022-11-24,0.5,,,0.950462299317414
Alpine,2022-11-24,0.04999999999999999,,,NA
Alpine,2022-11-24,0.95,,,1.1909971874384393
Alpine,2022-12-01,0.5,,,0.9604983920998376
Alpine,2022-12-01,0.04999999999999999,,,NA
Alpine,2022-12-01,0.95,,,1.1983669998116593
Alpine,2022-12-08,0.5,,,0.9529566958745596
Alpine,2022-12-08,0.04999999999999999,,,NA
Alpine,2022-12-08,0.95,,,1.20308919327561
Alpine,2022-12-15,0.5,,,0.9544458662258768
Alpine,2022-12-15,0.04999999999999999,,,NA
Alpine,2022-12-15,0.95,,,1.2194763149836971
Alpine,2022-12-22,0.5,,,0.9510331517362304
Alpine,2022-12-22,0.04999999999999999,,,NA
Alpine,2022-12-22,0.95,,,1.2251834385887164
Alpine,2022-12-29,0.5,,,0.950283242104839
Alpine,2022-12-29,0.04999999999999999,,,NA
Alpine,2022-12-29,0.95,,,1.2141291980635305
Alpine,2023-01-05,0.5,,,0.9495113770236576
Alpine,2023-01-05,0.04999999999999999,,,NA
Alpine,2023-01-05,0.95,,,1.2086902085981526
Alpine,2023-01-12,0.5,,,0.9520576551386888
Alpine,2023-01-12,0.04999999999999999,,,NA
Alpine,2023-01-12,0.95,,,1.1998796345740408
Alpine,2023-01-19,0.5,,,0.9528962473733829
Alpine,2023-01-19,0.04999999999999999,,,NA
Alpine,2023-01-19,0.95,,,1.199579201060892
Alpine,2023-01-26,0.5,,,0.9483184855709956
Alpine,2023-01-26,0.04999999999999999,,,NA
Alpine,2023-01-26,0.95,,,1.2031974312360063
Alpine,2023-02-02,0.5,,,0.9456263898896544
Alpine,2023-02-02,0.04999999999999999,,,NA
Alpine,2023-02-02,0.95,,,1.1914210183031562
Alpine,2023-02-09,0.5,,,0.9467345905341744
Alpine,2023-02-09,0.04999999999999999,,,NA
Alpine,2023-02-09,0.95,,,1.19365251182496
Alpine,2023-02-16,0.5,,,0.948255247407057
Alpine,2023-02-16,0.04999999999999999,,,NA
Alpine,2023-02-16,0.95,,,1.2058983451852754
Alpine,2023-02-23,0.5,,,0.9460572824322322
Alpine,2023-02-23,0.04999999999999999,,,NA
Alpine,2023-02-23,0.95,,,1.2278713680311395
Alpine,2023-03-02,0.5,,,0.9457335100840498
Alpine,2023-03-02,0.04999999999999999,,,NA
Alpine,2023-03-02,0.95,,,1.2268884453370568
Alpine,2023-03-09,0.5,,,0.9460657047985822
Alpine,2023-03-09,0.04999999999999999,,,NA
Alpine,2023-03-09,0.95,,,1.2248839375535276
Alpine,2023-03-16,0.5,,,0.9433003325923186
Alpine,2023-03-16,0.04999999999999999,,,NA
Alpine,2023-03-16,0.95,,,1.2155834799918162
Alpine,2023-03-23,0.5,,,0.9377264855167684
